audit_key,original_count,llm_modified_count,difference
aria-allowed-attr,1.0,1.0,0.0
aria-dialog-name,1.0,1.0,0.0
aria-hidden-focus,3.0,3.0,0.0
aria-prohibited-attr,1.0,1.0,0.0
aria-tooltip-name,1.0,1.0,0.0
bootup-time,11.0,11.0,0.0
charset,3.0,3.0,0.0
color-contrast,5.0,4.0,1.0
crawlable-anchors,3.0,3.0,0.0
cumulative-layout-shift,6.0,6.0,0.0
deprecations,7.0,6.0,1.0
dom-size,7.0,7.0,0.0
duplicated-javascript,1.0,1.0,0.0
errors-in-console,14.0,14.0,0.0
first-contentful-paint,15.0,15.0,0.0
font-display,5.0,5.0,0.0
font-size,5.0,5.0,0.0
hreflang,1.0,1.0,0.0
html-lang-valid,1.0,1.0,0.0
image-alt,2.0,2.0,0.0
image-aspect-ratio,2.0,1.0,1.0
image-size-responsive,2.0,2.0,0.0
input-button-name,1.0,1.0,0.0
inspector-issues,10.0,10.0,0.0
interactive,15.0,15.0,0.0
is-crawlable,2.0,2.0,0.0
is-on-https,7.0,5.0,2.0
label-content-name-mismatch,1.0,1.0,0.0
largest-contentful-paint,14.0,14.0,0.0
largest-contentful-paint-element,14.0,13.0,1.0
layout-shifts,2.0,2.0,0.0
lcp-lazy-loaded,2.0,5.0,-3.0
legacy-javascript,13.0,13.0,0.0
link-name,1.0,3.0,-2.0
link-text,2.0,2.0,0.0
list,1.0,1.0,0.0
listitem,1.0,1.0,0.0
mainthread-work-breakdown,12.0,12.0,0.0
max-potential-fid,15.0,14.0,1.0
meta-description,1.0,0.0,1.0
meta-viewport,3.0,3.0,0.0
modern-image-formats,6.0,5.0,1.0
no-document-write,2.0,2.0,0.0
offscreen-images,6.0,3.0,3.0
prioritize-lcp-image,1.0,2.0,-1.0
redirects,1.0,1.0,0.0
render-blocking-resources,9.0,8.0,1.0
speed-index,15.0,15.0,0.0
target-size,6.0,5.0,1.0
third-party-cookies,7.0,6.0,1.0
third-party-summary,13.0,13.0,0.0
total-blocking-time,15.0,14.0,1.0
total-byte-weight,5.0,5.0,0.0
unminified-css,2.0,1.0,1.0
unminified-javascript,1.0,1.0,0.0
unsized-images,6.0,6.0,0.0
unused-css-rules,11.0,12.0,-1.0
unused-javascript,15.0,15.0,0.0
uses-http2,2.0,2.0,0.0
uses-long-cache-ttl,9.0,8.0,1.0
uses-optimized-images,2.0,2.0,0.0
uses-passive-event-listeners,5.0,5.0,0.0
uses-rel-preconnect,4.0,1.0,3.0
uses-responsive-images,7.0,7.0,0.0
uses-text-compression,14.0,14.0,0.0
valid-source-maps,1.0,1.0,0.0
viewport,4.0,4.0,0.0
final-screenshot,0.0,1.0,-1.0
metrics,0.0,1.0,-1.0
screenshot-thumbnails,0.0,1.0,-1.0
