audit_key,count
first-contentful-paint,15
speed-index,15
total-blocking-time,15
max-potential-fid,15
interactive,15
unused-javascript,15
uses-text-compression,14
errors-in-console,14
largest-contentful-paint-element,14
largest-contentful-paint,14
third-party-summary,13
legacy-javascript,13
mainthread-work-breakdown,12
bootup-time,11
unused-css-rules,11
inspector-issues,10
uses-long-cache-ttl,9
render-blocking-resources,9
deprecations,7
third-party-cookies,7
is-on-https,7
dom-size,7
uses-responsive-images,7
offscreen-images,6
modern-image-formats,6
cumulative-layout-shift,6
target-size,6
unsized-images,6
uses-passive-event-listeners,5
total-byte-weight,5
color-contrast,5
font-size,5
font-display,5
viewport,4
uses-rel-preconnect,4
crawlable-anchors,3
charset,3
meta-viewport,3
aria-hidden-focus,3
image-alt,2
is-crawlable,2
layout-shifts,2
uses-http2,2
link-text,2
image-aspect-ratio,2
no-document-write,2
uses-optimized-images,2
image-size-responsive,2
lcp-lazy-loaded,2
unminified-css,2
aria-allowed-attr,1
redirects,1
duplicated-javascript,1
unminified-javascript,1
list,1
listitem,1
aria-tooltip-name,1
valid-source-maps,1
hreflang,1
link-name,1
input-button-name,1
html-lang-valid,1
aria-dialog-name,1
meta-description,1
aria-prohibited-attr,1
prioritize-lcp-image,1
label-content-name-mismatch,1
