audit_key,count
first-contentful-paint,15
speed-index,15
interactive,15
unused-javascript,15
total-blocking-time,14
max-potential-fid,14
errors-in-console,14
largest-contentful-paint,14
uses-text-compression,14
third-party-summary,13
largest-contentful-paint-element,13
legacy-javascript,13
unused-css-rules,12
mainthread-work-breakdown,12
bootup-time,11
inspector-issues,10
uses-long-cache-ttl,8
render-blocking-resources,8
dom-size,7
uses-responsive-images,7
third-party-cookies,6
deprecations,6
cumulative-layout-shift,6
unsized-images,6
modern-image-formats,5
uses-passive-event-listeners,5
total-byte-weight,5
lcp-lazy-loaded,5
font-size,5
is-on-https,5
target-size,5
font-display,5
color-contrast,4
viewport,4
crawlable-anchors,3
offscreen-images,3
charset,3
meta-viewport,3
link-name,3
aria-hidden-focus,3
image-alt,2
prioritize-lcp-image,2
layout-shifts,2
image-size-responsive,2
uses-optimized-images,2
is-crawlable,2
no-document-write,2
uses-http2,2
link-text,2
redirects,1
metrics,1
uses-rel-preconnect,1
final-screenshot,1
list,1
aria-allowed-attr,1
listitem,1
image-aspect-ratio,1
screenshot-thumbnails,1
unminified-css,1
duplicated-javascript,1
unminified-javascript,1
valid-source-maps,1
hreflang,1
input-button-name,1
html-lang-valid,1
aria-tooltip-name,1
aria-dialog-name,1
aria-prohibited-attr,1
label-content-name-mismatch,1
