audit_key,original_count,llm_modified_count,difference
color-contrast,5.0,4.0,1.0
deprecations,7.0,6.0,1.0
image-aspect-ratio,2.0,1.0,1.0
is-on-https,7.0,5.0,2.0
largest-contentful-paint-element,14.0,13.0,1.0
max-potential-fid,15.0,14.0,1.0
meta-description,1.0,0.0,1.0
modern-image-formats,6.0,5.0,1.0
offscreen-images,6.0,3.0,3.0
render-blocking-resources,9.0,8.0,1.0
target-size,6.0,5.0,1.0
third-party-cookies,7.0,6.0,1.0
total-blocking-time,15.0,14.0,1.0
unminified-css,2.0,1.0,1.0
uses-long-cache-ttl,9.0,8.0,1.0
uses-rel-preconnect,4.0,1.0,3.0
